mol_index,smiles,assembly_index,current_pg,current_order,trusted_pg,trusted_order,tolerance,exact_label_match,order_match,order_abs_delta,current_pg_coarse,trusted_pg_coarse,coarse_label_match,coarse_order_match
5032,[H]Oc1c(N([H])[H])oc([H])c1C([H])([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
28842,[H]c1oc(C2([H])C([H])([H])C2([H])[H])c([H])c1C([H])([H])[H],6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
37363,[H]C([H])=C1[C-]([H])[C@H]2C([H])=C([H])[C@@]3([H])[C@]1([H])[C@@]23[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
26361,[H]Oc1c(N([H])[H])oc(N([H])[H])c1O[H],5.0,C2,2,C1,1,0.5,False,False,1,C2,LOW_SYM,False,False
30891,[H]c1nc(=O)c([H])c(C([H])([H])C([H])([H])[H])o1,8.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
85195,[H]C([H])([H])[C@]1([H])C([H])([H])[C@@]([H])(C(=O)C#N)C1([H])[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
121583,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H],4.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
125252,[H]c1noc(N([H])[H])c1OC([H])([H])C([H])([H])[H],7.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
99005,[H]C#CC([H])([H])C([H])([H])[NH2+]C(OC([H])([H])[H])C([H])([H])[H],6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
125797,[H]C([H])([H])n1nc2c(n1)C([H])([H])C([H])([H])O2,7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
1652,[H]C([H])([H])N(C(=O)C([H])([H])C([H])([H])[H])C([H])([H])[H],5.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
51638,[H]C([H])([H])C#CC#CC1(C([H])([H])[H])C([H])([H])C1([H])[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
48552,[H]C#C[C@@]1([H])N(C([H])=O)[C@@]1([H])C#C[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
53018,[H][N-]C(OC([H])([H])C([H])=O)C(=O)C([H])([H])[H],5.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
22949,[H]ONC1C(=O)[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
73296,[H]C([H])([H])C1[NH2+]C2(C(=O)O1)C([H])([H])C2([H])[H],8.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
26401,[H]c1c(N([H])[H])c(C([H])([H])[H])n2c1C([H])([H])C2([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
49441,[H]C(=O)[C@]1([H])C([H])([H])[C@@]2([H])O[C@]([H])(C2([H])[H])C1([H])[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
1635,[H]OC([H])([H])C(=O)C(=O)C([H])([H])[H],4.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
8365,[H]N1C(=O)[C@]2([H])C([H])([H])[C@@]1(C([H])([H])[H])C2([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
5064,[H]Oc1c(N([H])[H])c([H])c([H])n1C([H])([H])[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
45340,[H]C1=C(C([H])([H])C#N)C([H])([H])C([H])([H])C1=O,6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
21340,[H][N-]c1c([H])n[n+]([H])c([H])c1N([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
30510,[H][N-]c1oc(O[H])c(N([H])C([H])([H])[H])[n+]1[H],8.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
28418,[H]c1nc(C([H])([H])[H])c([H])nc(=O)n1,5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
130750,[H]Oc1c(F)nc([H])c(N([H])[H])c1[H],7.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
52765,[H]C([H])([H])C#CC([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
126618,[H]C(=O)c1nonc1N([H])C([H])([H])[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
130144,[H]c1c(N([H])[H])noc1[N+](=O)[O-],8.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
49982,[H]C(=O)C#CC(=O)N([H])C([H])=O,6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
31639,[H]Oc1nc(N([H])C([H])([H])[H])c([H])nc1[H],7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
53442,[H]N([H])C(=O)C1(C(=O)N([H])[H])OC1([H])[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
126581,[H][N-]c1nn[n+]([H])nc1N([H])C([H])([H])[H],6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
24959,[H]c1nc([H])n2c1N([H])C([H])([H])C2=O,8.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
128910,[H]c1nnn([H])c(=O)c(=O)c1[H],7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
41737,[H]C#CC([H])([H])C([H])([H])C(=O)C([H])([H])C#N,6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
118000,[H]C([H])([H])C([H])([H])C([H])([H])[C@@]12C([H])([H])[C@@]3([H])[C@@]([H])(C1([H])[H])[C@@]23[H],5.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
30845,[H]c1nc(N([H])C([H])([H])[H])c(C#N)o1,8.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
120020,[H]C#CC([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])O[H],6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
29438,[H]c1nc(=O)c(C([H])([H])[H])c([H])n1C([H])([H])[H],8.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
28446,[H]Oc1nc([H])c(=O)nc([H])c1[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
95260,[H]C([H])([H])[NH2+]C(OC([H])([H])C(=O)C([H])([H])[H])C([H])([H])[H],6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
5527,[H]Oc1oc([H])c([H])c1N([H])C([H])([H])[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
50573,[H]C(=O)N([H])[C@]1([H])[C@@]2([H])C(=O)[C@]1([H])C2([H])[H],7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
122822,[H]N([H])c1c(C([H])(C([H])([H])[H])C([H])([H])[H])nnn1[H],8.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
26385,[H]C(=O)n1c([H])nc(C([H])([H])[H])c1N([H])[H],8.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
27117,[H][N-]C1OC(=O)N=C(C([H])([H])[H])O1,6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
28570,[H]C#Cc1nc([H])nc([H])c1N([H])[H],7.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
27369,[H]Oc1c([H])c(N([H])[H])c(C([H])=O)n1[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
56949,[H]OC(C(=O)N(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
15029,[H]C([H])([H])C([H])([H])C#CC([H])([H])C1([H])C([H])([H])C1([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
4584,[H][N-]C1OC([H])=C(C([H])=O)O1,6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
28999,[H]Oc1c([H])c(C([H])([H])C([H])=O)n([H])c1[H],7.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
124410,[H]c1nonc1C(=O)C([H])([H])C([H])([H])[H],6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
36218,[H]C([H])(C#N)OC([H])([H])C1([H])C([H])([H])OC1([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
28173,[H]c1c([H])c(C2([H])C([H])([H])C2([H])[H])n([H])c1N([H])[H],7.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
25835,[H]c1nc(N(C([H])([H])[H])C([H])([H])[H])c(C([H])([H])[H])n1[H],7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
1976,[H]C([H])([H])C(=O)C([H])([H])[NH+]1C([H])([H])C1([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
118010,[H]OC([H])([H])C([H])([H])[C@@]12C([H])([H])[C@@]3([H])[C@@]([H])(C1([H])[H])[C@@]23[H],5.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
75124,[H]O[C@@]1([H])[C@@]([H])(C([H])([H])[H])[C@@]([H])(C#N)[C@@]1([H])C([H])([H])[H],6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
24411,[H]C1=C([H])C([H])([H])Oc2c([H])c([H])c([H])n21,6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
1963,[H]OC([H])([H])[C@]1([H])C([H])([H])[C@]([H])(C([H])([H])[H])C1([H])[H],4.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
3924,[H]OC([H])([H])c1noc([H])n1,6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
25783,[H]c1c(N([H])[H])c(C([H])(C([H])([H])[H])C([H])([H])[H])n([H])c1[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
30110,[H]c1nc(O[C+]([H])[NH2+]C([H])([H])[H])c([H])n1[H],7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
9254,[H]OC([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H],5.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
13930,[H]C1=C([H])C([H])([H])C2(C([H])([H])OC2([H])[H])C1([H])[H],5.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
121111,[H]C#CC(=O)OC([H])([H])C([H])([H])C([H])([H])O[H],5.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
131901,[H]C(=O)/C([H])=C1/[C-]([H])CC([H])([H])[C-]1[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
29984,[H][c+]1nc(NC([H])([H])[H])oc(=O)o1,6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
31581,[H][N-]c1c([H])nc([H])c(C([H])([H])O[H])[n+]1[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
67011,[H]O[C@]12C([H])=C([H])C([H])([H])[C@](C([H])([H])[H])(C1([H])[H])C2([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
47310,[H]C(=O)C(=O)N1[C@@]2([H])C([H])([H])C([H])([H])[C@@]12[H],7.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
2195,[H]C1([H])C([H])([H])[C@]2(C([H])([H])[H])C([H])([H])C([H])([H])[C@]12[H],3.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
26310,[H]N([H])c1c(C([H])([H])[H])oc(C([H])([H])[H])c1C([H])([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
49086,[H]C(=O)N1C([H])=C([H])C([H])([H])C(=O)C1([H])[H],8.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
62311,[H][N-]C1OC(C([H])([H])[H])(C([H])([H])[H])C12C([H])([H])C2([H])[H],6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
122844,[H]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c(N([H])[H])nn1[H],7.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
22831,[H]ONC1C(C#N)=C([H])C([H])([H])C1([H])[H],7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
59137,[H]C([H])([H])C([H])(OC1(C([H])([H])[H])C([H])([H])OC1([H])[H])C([H])([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
104531,[H]C([H])([H])O[C@@]12[C@@]3([H])O[C@]1([H])[C@]1([H])[C@@]3([H])[C@@]12[H],5.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
2280,[H]C([H])([H])OC([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
4746,[H]c1c(N([H])[H])nc(OC([H])([H])[H])n1[H],7.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
28935,[H]C(=O)c1oc([H])c(C([H])([H])[H])c1N([H])[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
65615,[H]O[C@@]12[C@]3([H])O[C@@]4([H])[C@@]([H])(O3)[C@]1([H])[C@]42[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
88230,[H]O[C@]1([H])C([H])([H])[C@]2([NH2+][C+]([H])OC2([H])[H])C1([H])[H],7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
4463,[H]Oc1nc(N([H])[H])c(N([H])[H])o1,7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
112649,[H]OC([H])([H])C1([H])C([H])([H])C2(C([H])([H])OC2([H])[H])C1([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
11016,[H]C([H])([H])C([H])([H])[N@H+]1C([H])([H])[C@@]([H])(C#N)C1([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
103481,[H]OC([H])([H])C1(C#CC([H])=O)C([H])([H])C1([H])[H],7.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
41696,[H]C#CC(=O)C([H])([H])[NH+]1C([H])([H])C([H])([H])C1([H])[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
32395,[H]c1c(OC([H])([H])C([H])([H])[H])c([H])n(C([H])([H])[H])c1[H],6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
21343,[H]c1c(N([H])[H])c(=O)nnn1[H],7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
126191,[H]c1n[n+]([H])c(NC([H])([H])[H])c(C([H])([H])[H])c1[H],7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
107789,[H]OC([H])([H])C1=C([H])C([H])([H])C([H])([H])N1C([H])=O,7.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
35643,[H]C1([H])C([H])([H])[C@]2(C([H])([H])C#N)C([H])([H])C([H])([H])[C@]12[H],5.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
122122,[H]c1nc(N([H])C2([H])C([H])([H])C2([H])[H])n([H])n1,8.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
10050,[H]C(=O)/C(=N\C([H])([H])[H])N([H])C([H])([H])C([H])([H])[H],5.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
3971,[H]C#C/C(=N\O[H])C([H])([H])OC([H])([H])[H],6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
121198,[H]OC([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])O[H],5.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
125503,[H]c1c(C([H])([H])C#N)nnn1C([H])([H])[H],8.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
26144,[H]c1nc(C2(C([H])([H])[H])C([H])([H])C2([H])[H])n([H])c1[H],8.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
43564,[H][N-]C1O[C@@]2([H])[C@]3([H])[N@H+]4C([H])([H])[C@@]13[C@]42[H],7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
26850,[H]C1=C([H])C([H])([H])n2c([H])nc(N([H])[H])c21,8.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
4374,[H][N-]C1=C([H])C([H])=NC(O[H])O1,6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
59813,[H]C(=O)N(C(=O)N1C([H])([H])C1([H])[H])C([H])([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
120658,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1=NC([H])([H])C([H])([H])O1,7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
124108,[H]N([H])c1nonc(C([H])([H])[H])c1=O,6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
30343,[H]Oc1c(C([H])([H])O[H])oc(C([H])([H])[H])c1[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
27886,[H]c1oc([H])c2oc(N([H])[H])nc12,7.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
13167,[H][C+]([NH2+]C1([H])C([H])([H])OC1([H])[H])OC([H])([H])[H],6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
104808,[H]C1=C([H])[C@]2(C([H])([H])[H])C([H])([H])[C@@]1(OC([H])([H])[H])C2([H])[H],7.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
47677,[H]C(=O)C1(C([H])=O)C(=O)OC1([H])[H],5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
76564,[H]O[C@]1([H])[C@]2([H])C(=O)[C@@]1([H])[C@@]21OC1([H])[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
30421,[H]N([H])c1nc(C([H])([H])[H])oc1OC([H])([H])[H],7.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
126013,[H]Oc1nnn(C([H])([H])[H])c(=O)n1,8.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
129141,[H]C(=O)C([H])([H])Nc1n([H])nc([H])[n+]1[H],7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
127709,[H]c1nnoc1OC(=O)N([H])[H],8.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
39319,[H]C1([H])C([H])([H])[C@]12O[C@@]1([H])C([H])([H])[N@@H+](C2([H])[H])C1([H])[H],6.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
127598,[H]/N=C(/Oc1nc([H])nn1[H])N([H])[H],5.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
126519,[H]c1noc(=O)c(N([H])C([H])([H])[H])n1,7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
31867,[H][N-]C1OC([H])=C(OC([H])([H])[H])N=C1[H],6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
